Fiscal Year 2012,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,50,433,0,589,"5,472",31,0,0,14,2,0,0,0,0,53,0,1,0,0,0,0,0,184,5,0,40,64,0,64,0,0,8,0,0,0,0,1,5,16,222,11,53,0,1,0,20,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,364",0,"7,364"
Angola,77,169,1,10,"5,505",636,0,0,23,164,0,0,0,0,0,0,0,0,0,0,0,0,706,39,0,49,109,0,21,1,0,6,0,0,0,0,18,5,5,49,10,0,0,0,0,61,103,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,778",0,"7,778"
Benin,41,109,0,6,"1,204",9,0,0,5,0,0,4,0,0,2,0,0,0,0,0,0,0,234,2,0,28,60,0,48,0,0,10,0,0,0,0,0,2,6,29,5,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,821",0,"1,821"
Botswana,16,88,0,0,921,2,0,0,42,12,0,0,0,0,0,0,0,0,0,0,1,0,64,5,0,6,17,0,30,0,0,14,0,0,0,0,1,3,3,71,0,2,3,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,341",0,"1,341"
Burkina Faso,24,109,3,3,"1,569",4,0,0,6,0,0,66,0,0,0,0,0,0,0,0,0,0,520,2,0,24,50,0,77,7,0,11,0,0,0,0,0,4,3,79,4,8,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,588",0,"2,588"
Burundi,25,59,0,1,715,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,8,57,0,85,1,0,2,0,0,0,0,0,0,10,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,147",0,"1,147"
Cameroon,54,253,5,9,"5,515",33,0,0,6,8,0,11,0,0,2,0,0,3,0,0,0,0,700,16,0,27,165,0,193,0,0,72,0,0,0,0,3,15,6,151,4,85,4,0,0,19,14,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,403",0,"7,403"
Cape Verde,7,47,1,1,"1,738",2,0,0,0,47,0,8,0,0,0,0,0,0,0,0,0,0,58,0,0,4,16,0,7,0,0,0,0,0,0,0,0,0,0,31,0,51,20,0,0,1,2,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,100",0,"2,100"
Central African Republic,40,37,0,0,120,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,4,35,0,6,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,272
