Fiscal Year 2012,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Chad,32,49,1,4,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,26,47,0,32,1,0,2,0,0,0,0,1,0,0,51,5,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,624
Comoros,9,2,1,1,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,23,0,10,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,131
"Congo, Dem. Rep. of the (Kinshasa)",29,271,0,9,"3,699",13,0,0,15,2,1,1,0,0,1,0,0,1,0,0,0,0,407,19,0,19,552,0,110,0,0,16,0,0,0,0,0,9,2,71,8,23,1,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,320",0,"5,320"
"Congo, Rep. of the (Brazzaville)",28,75,3,11,"1,070",24,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,135,0,0,55,124,0,28,0,0,2,0,0,0,0,4,1,1,19,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600",0,"1,600"
Cote d'Ivoire,22,154,2,9,"3,391",6,0,0,20,4,0,5,0,0,0,0,0,0,0,0,0,0,533,5,0,39,72,0,125,6,0,24,0,0,0,0,0,11,8,96,20,42,7,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,622",0,"4,622"
Djibouti,22,88,0,1,355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,22,0,14,0,0,0,0,0,0,0,0,0,0,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,538
Egypt,224,"1,860",26,187,"56,887",115,0,0,21,820,0,10,0,0,50,0,0,28,0,0,0,0,"1,369",217,0,52,186,0,198,2,0,273,0,0,10,0,8,249,45,"1,488",443,252,6,7,1,186,275,206,0,0,0,0,0,0,0,0,0,0,0,18,16,11,5,0,5,0,0,0,0,31,35,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,"65,831",0,"65,831"
Equatorial Guinea,18,50,36,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,16,54,0,7,15,0,2,0,0,0,0,10,1,0,11,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,203",0,"1,203"
Eritrea,6,11,18,123,525,52,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,118,1,0,3,6,0,11,0,0,3,0,0,0,0,0,1,0,10,1,36,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,0,942
Ethiopia,40,170,14,156,"9,037",23,0,0,147,0,0,12,0,0,710,0,2,3,0,0,0,0,858,61,0,43,45,0,355,5,0,49,0,0,0,0,1,30,10,168,33,453,19,4,0,7,7,11,0,0,0,0,0,0,0,0,0,0,0,4,1,0,92,0,89,0,0,0,0,9,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"12,674",0,"12,674"
Gabon,23,115,3,0,804,109,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,139,0,0,14,39,0,20,0,0,7,0,0,0,0,1,2,1,15,0,0,0,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,321",0,"1,321"
"Gambia, The",2,73,0,1,851,3,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,134,0,0,8,63,0,71,1,0,2,0,0,0,0,0,0,2,21,1,27,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,274",0,"1,274"
Ghana,20,438,2,23,"11,926",41,0,0,46,150,0,5,0,0,1,0,0,0,0,0,0,0,"1,155",69,0,25,140,0,179,4,0,153,0,0,0,1,0,91,103,481,36,323,38,7,3,17,8,24,0,0,0,0,0,0,0,0,0,1,0,4,2,0,15,0,33,0,0,0,0,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,651",0,"15,651"
Guinea,21,31,0,85,"1,203",12,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,17,45,0,23,0,0,4,0,0,0,0,0,1,2,24,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,592",0,"1,592"
Guinea-Bissau,2,8,0,1,66,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,35,0,12,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,139
Kenya,70,826,8,66,"11,001",14,0,0,22,169,0,4,0,0,2,0,0,2,0,0,0,0,"1,018",41,0,35,265,0,516,14,0,248,0,0,0,0,5,62,10,380,29,78,16,1,1,19,18,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,75,0,5,1,0,0,0,43,12,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,"15,111",0,"15,111"
Lesotho,10,25,0,1,200,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,20,3,0,6,25,0,11,0,0,3,0,0,0,0,0,0,2,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,341
Liberia,38,276,0,26,"2,337",7,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,117,9,0,22,75,0,52,0,0,4,0,0,0,1,1,2,1,63,0,83,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"3,169",0,"3,169"
Libya,52,135,0,22,"1,120",4,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,741,737,0,56,68,0,8,0,0,13,0,0,0,0,2,17,3,139,52,12,0,0,0,17,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,226",0,"3,226"
Madagascar,35,22,1,1,623,4,0,0,37,0,1,3,0,0,74,0,0,1,0,0,0,0,67,6,0,34,28,0,121,4,0,17,0,0,0,0,0,4,0,37,5,4,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,153",0,"1,153"
Malawi,12,86,0,5,840,20,0,0,34,2,0,8,0,0,0,0,0,0,0,0,0,0,64,14,0,8,85,0,51,1,0,2,0,0,0,0,0,1,13,82,4,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1,352",0,"1,352"
Mali,23,72,2,37,"1,499",53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,149,2,0,1,35,0,70,0,0,6,0,0,0,0,0,1,6,43,3,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"2,079",0,"2,079"
Mauritania,16,152,0,1,507,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,55,0,0,27,39,0,32,0,0,1,0,0,0,0,0,0,0,61,2,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,906
Mauritius,11,25,2,5,"1,520",75,0,0,12,646,0,3,0,0,0,0,0,2,0,0,1,0,64,5,0,14,17,0,29,2,0,18,0,0,1,0,0,4,2,40,3,6,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"2,533",0,"2,533"
Morocco,61,915,26,70,"14,567",31,0,0,9,326,0,1,0,0,52,0,0,5,0,0,0,0,660,7,0,46,126,0,68,9,0,70,0,0,0,0,1,24,21,506,27,160,2,2,0,19,20,7,1,0,0,0,0,0,0,0,0,0,0,6,5,1,20,0,7,3,52,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"17,936",0,"17,936"
Mozambique,30,122,2,1,951,2,0,0,46,6,0,2,0,0,0,0,0,0,0,0,0,0,56,5,0,12,78,0,75,2,0,2,0,0,0,0,6,5,9,79,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,505",0,"1,505"
Namibia,15,109,0,8,908,5,0,0,31,37,0,3,0,0,1,0,0,1,0,0,0,0,39,4,0,7,70,0,17,2,0,3,0,0,2,0,0,0,3,45,7,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,338",0,"1,338"
Niger,40,67,6,16,644,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,43,142,0,53,1,0,4,0,0,0,0,0,3,1,58,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,"1,200"
Nigeria,197,798,10,150,"65,123","9,771",0,0,59,96,0,84,0,0,15,0,0,0,0,0,1,0,"3,316",275,0,153,289,0,394,5,0,483,0,0,0,1,28,150,138,571,88,666,49,8,1,161,237,159,13,0,0,0,0,0,0,0,0,0,0,10,6,1,34,1,228,3,0,0,0,135,32,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,"83,944",0,"83,944"
Rwanda,18,143,4,10,"1,638",1,0,0,11,2,4,72,0,0,0,0,0,0,0,0,0,0,380,10,0,3,25,0,74,5,0,8,0,0,0,0,0,3,0,85,7,8,2,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,573",0,"2,573"
Sao Tome and Principe,5,15,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,0,5,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82
Senegal,63,154,7,4,"3,512",15,0,0,10,0,0,18,0,0,15,0,0,0,0,0,0,0,287,1,0,14,116,1,189,12,0,40,0,0,0,0,0,15,17,204,8,42,2,0,0,12,10,3,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"4,824",0,"4,824"
Seychelles,4,21,0,12,120,8,0,0,1,27,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,7,17,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233
Sierra Leone,26,39,1,4,"1,313",98,0,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,58,0,0,19,28,0,58,4,0,7,0,0,0,0,0,0,0,39,3,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,807",0,"1,807"
Somalia,0,2,0,3,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,9,0,28,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,202
South Africa,93,699,5,161,"50,650",121,0,0,111,"2,282",0,135,0,0,7,0,1,5,0,0,2,0,779,19,0,41,237,1,208,1,0,397,0,1,"1,122","1,301",9,238,53,"1,929",73,80,3,2,0,791,464,64,20,0,0,0,0,0,0,0,0,0,0,88,25,29,85,0,91,3,32,0,0,44,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"62,516",0,"62,516"
South Sudan,21,170,0,9,140,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,15,38,0,13,0,0,1,0,0,0,0,0,0,1,18,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,467
Sudan,57,55,83,251,"1,544","1,220",0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,138,12,0,60,77,0,82,0,0,15,0,0,0,0,1,18,6,78,16,28,0,1,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,771",0,"3,771"
Swaziland,9,19,1,0,371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,1,0,1,44,0,9,2,0,3,0,0,0,0,0,0,4,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,535
Tanzania,82,361,4,52,"4,277",23,0,0,8,154,0,17,0,0,2,0,0,0,0,0,0,0,402,30,0,80,194,1,147,2,0,57,0,0,0,0,0,9,4,224,10,22,4,1,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"6,208",0,"6,208"
Togo,23,76,1,5,"1,026",22,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,26,73,0,59,2,0,6,0,0,0,0,0,0,8,37,9,35,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1,521",0,"1,521"
Tunisia,21,414,2,34,"4,629",9,0,0,7,257,0,0,0,0,5,0,0,4,0,0,0,0,364,9,0,15,57,0,51,1,0,39,0,0,0,0,2,15,8,346,24,30,1,0,0,13,22,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"6,393",0,"6,393"
Uganda,17,247,6,5,"4,387",28,0,0,26,0,0,4,0,0,16,0,0,0,0,0,0,0,454,19,0,36,123,0,266,10,0,51,0,0,0,0,2,11,14,201,22,32,2,2,0,7,10,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,279,1,1,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,322",0,"6,322"
Zambia,38,239,4,170,"1,613",185,0,0,25,17,0,15,0,0,0,0,0,0,0,0,0,0,153,12,0,30,128,0,141,6,0,15,0,0,0,1,0,3,12,115,16,7,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2,955",0,"2,955"
Zimbabwe,60,63,6,19,"4,200",16,0,0,142,0,0,1,0,0,178,0,0,1,0,0,0,0,425,11,0,61,112,0,219,4,0,98,0,0,0,2,0,28,19,172,15,9,1,0,0,71,17,5,0,0,0,0,0,0,0,0,0,2,0,3,0,1,3,0,15,0,11,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,004",0,"6,004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"1,979","11,046",297,"2,381","295,125","12,862",0,0,987,"5,238",6,507,0,0,"1,218",0,4,57,0,0,5,0,"17,829","1,678",0,"1,404","4,649",16,"4,763",133,0,"2,271",0,1,"1,135","1,307",105,"1,043",578,"8,743","1,010","2,853",246,42,8,"1,492","1,303",627,34,0,0,2,0,0,0,0,0,4,0,166,78,55,455,2,970,13,131,0,0,443,125,0,0,0,0,25,0,1,9,1,1,5,1,13,0,0,0,0,0,"387,482",0,"387,482"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,113,514,0,1,"1,365",17,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,181,14,0,31,49,0,71,0,0,14,0,0,0,0,0,1,13,314,8,157,0,3,0,0,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,884",0,"2,884"
Bahrain,7,228,0,6,"2,895",381,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,202,12,0,4,25,0,1,0,0,12,0,0,0,0,0,5,2,99,14,0,0,0,0,8,5,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,963",0,"3,963"
Bangladesh,24,524,16,49,"11,353",22,0,0,29,677,0,7,4,8,0,0,0,0,0,0,1,0,"1,364",251,0,81,155,0,352,9,0,181,0,0,0,0,1,137,66,297,88,23,0,0,0,33,35,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,83,0,0,0,0,12,0,0,0,0,0,14,0,0,3,0,0,1,4,0,0,0,0,0,0,"15,911",0,"15,911"
Bhutan,1,113,0,0,195,1,0,0,3,0,0,7,0,0,0,0,0,1,0,0,0,0,44,3,0,15,69,0,25,2,0,4,0,0,0,0,0,0,1,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,521
Brunei,20,176,0,0,25,5,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,25,3,0,14,38,0,11,0,0,1,0,0,0,0,0,2,15,26,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,379
Burma,45,57,0,509,384,"1,264",0,0,559,0,0,0,0,0,"3,017",0,0,0,0,0,0,0,597,11,0,26,50,0,86,1,0,48,0,0,0,0,2,13,14,136,13,64,3,1,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,16,0,11,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,967",0,"6,967"
Cambodia,25,119,0,311,"2,072",2,0,0,20,0,0,43,0,0,4,0,0,0,0,0,0,0,285,2,0,41,68,0,54,3,0,14,0,0,0,0,0,3,3,151,6,363,25,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,663",0,"3,663"
China - mainland,581,"2,162",9,271,"997,920",976,0,0,"1,432","13,879",0,963,55,9,"1,239",0,5,33,9,0,16,0,"189,402","3,120",0,81,497,0,659,10,0,"11,077",0,0,1,0,345,"3,355",989,"32,400","9,591","1,561",225,3,0,"3,499","2,999","1,421",5,0,0,0,0,0,0,0,0,1,1,188,24,65,"1,156",1,762,9,90,0,0,26,5,0,0,1,0,81,0,4,7,3,4,4,6,13,0,0,0,0,0,"1,283,250",0,"1,283,250"
